"file_path","symbol_or_line","current_value_or_assumption","dataset_dependent","pipeline_dependent_dataset_independent","safe_to_reuse","required_v2_action","earliest_pipeline_stage","risk_if_unchanged","classification"
"src/cached_fbank_dataset.py","SPLITS and config validation (lines 15, 82-88)","fixed train/validation/test config and [301,80] float32","partial","yes","partial","Parameterize schema/version and accept approved [T,80] from cache-v2 config while retaining strict dtype/shape validation.","before Fbank cache v2","Cannot load a valid v2 cache with a different T and may accept the wrong schema.","Must change before Fbank cache v2"
"src/cached_fbank_dataset.py","train label guard (lines 129-132)","train labels 0..487; non-train label -1","yes","no","no","Validate against the approved v2 speaker-to-label mapping and class count.","before training v2","Rejects v2 labels or permits a mismatched classifier.","Must change before training v2"
"src/cached_fbank_samplers.py","validate_train_sampler_metadata / configurable P-K sampler","speaker identities and counts read from Dataset; P/K/num_batches arguments supported","no","yes","yes","Reuse validation and deterministic sampler mechanics after binding them to approved cache-v2 metadata and an approved sampler config.","before training v2","Low if configured correctly; defaults must not become implicit approval.","Safe reusable production logic"
"src/cached_fbank_samplers.py","_PKBase defaults (lines 120-141)","P=16 K=2; num_batches defaults from dataset size","yes","yes","partial","Require explicit approved v2 P/K/epoch-length config and derive feasible values from speaker distribution.","before training v2","Pilot sampling assumptions may repeat or omit v2 data inappropriately.","Must change before training v2"
"src/aam_training.py","NUM_CLASSES (line 22)","488","yes","no","no","Construct AAM-Softmax with class count from approved v2 label mapping.","before training v2","Classifier shape and labels do not match v2 speakers.","Must change before training v2"
"src/aam_training.py","APPROVED_TRAIN_CACHE_RELATIVE / APPROVED_TRAIN_INDEX_FILENAME (lines 24-25)","outputs/fbank_cache_v1 and train_feature_index_v1.csv","yes","no","no","Bind guards to versioned cache-v2 config and approved train index identity.","before training v2","Loads pilot cache for v2 training.","Must change before training v2"
"src/aam_training.py","AAMSoftmax and optimizer helpers","class count is already a constructor parameter; optimizer coverage and BatchNorm guards are generic","no","yes","yes","Reuse with v2-provided class count and data identity; preserve pretrained-classifier exclusion.","before training v2","Low if pilot defaults are never used.","Safe reusable production logic"
"src/ecapa_one_epoch_pilot.py","EXPECTED_TRIAL_SHA256 and APPROVED_INPUT_PATHS (lines 32-34, 97-103)","pilot validation trial hash and v1 cache/manifest/trial paths","yes","no","no","Do not migrate this pilot contract; create a v2 checkpoint identity from approved artifacts.","before verification trials v2","Authenticates and loads the pilot validation protocol.","Historical v1 artifact that must remain untouched"
"src/ecapa_one_epoch_pilot.py","SAMPLER_CONFIGURATION / AAM_CONFIGURATION (lines 37-65)","1000 batches; P16K2; window 8; 488 classes","yes","yes","no","Replace through an approved v2 training config derived from v2 manifests/cache.","before training v2","Carries pilot epoch length, sampling, and classifier shape into v2.","Must change before training v2"
"src/ecapa_one_epoch_pilot.py","validation payload guards (lines 843, 952-954, 985)","19528 trials; 8504 rows; [301,80]","yes","no","no","Validate counts and T from approved v2 validation protocol/cache identities.","before baseline v2","Rejects v2 results or incorrectly authenticates pilot-shaped outputs.","Must change before baseline v2"
"scripts/generate_validation_trials_v1.py","EXPECTED_ROWS / EXPECTED_SPEAKERS and default inputs (lines 19-20, 69-70, 84)","8504 rows; 100 speakers; v1 validation manifest/cache; validation_trials_v1","yes","no","no","Create a separately versioned v2 generator driven by the approved validation manifest and protocol config.","before verification trials v2","Regenerates or overwrites the pilot trial protocol.","Must change before verification trials v2"
"src/verification_trials.py","relative-path validation and metadata ownership validation (lines 37-55, 145+)","portable paths; deterministic pairing; path-owner checks","no","yes","yes","Reuse after approved validation split v2; make pair caps and protocol identity explicit in config.","before verification trials v2","Low; insufficient-pair speakers must be handled by approved policy.","Safe reusable production logic"
"scripts/evaluate_pretrained_validation_baseline.py","EXPECTED_ROWS and default v1 paths (lines 29, 52-57)","8504 and fbank_cache_v1 / validation_manifest_v1 / validation_trials_v1 / baseline_v1","yes","no","no","Use approved v2 validation/cache/trial paths and a separate baseline-v2 identity.","before baseline v2","Evaluates the pilot protocol instead of v2.","Must change before baseline v2"
"scripts/recompute_pretrained_validation_metrics.py","EXPECTED_ROWS / EXPECTED_SPEAKERS and v1 artifact defaults (lines 25-26, 132-139)","8504/100 and v1 cache/trials/embeddings/scores/reports","yes","no","no","Bind metrics-only reuse to approved baseline-v2 identities and expected counts.","before baseline v2","Reuses pilot scores, thresholds, and metadata.","Must change before baseline v2"
"src/verification_metrics.py","verification_operating_points / calculate_eer","O(N log N) grouped EER and explicit empirical threshold semantics","no","yes","yes","Reuse unchanged after v2 validation trials and scores are approved.","before baseline v2","Low; correctness depends on authoritative v2 inputs.","Safe reusable production logic"
"src/verification_baseline.py","score_trials / validate_saved_artifacts","cosine scoring and metadata-order validation; embedding dimension 192","no","yes","yes","Reuse scoring; source expected row counts from approved v2 metadata and retain 192-dimensional encoder invariant.","before baseline v2","Low if artifact identities are v2-specific.","Safe reusable production logic"
"scripts/run_ecapa_aam_one_epoch_pilot.py","CACHE_RELATIVE / validation inputs and counts (lines 127-143)","fbank_cache_v1; validation_manifest_v1; validation_trials_v1; 8504/100/19528","yes","no","no","Keep this runner pilot-only; implement a separately configured v2 runner after all prerequisite approvals.","before training v2","Loads pilot cache and validation protocol.","Historical v1 artifact that must remain untouched"
"scripts/run_ecapa_aam_one_epoch_pilot.py","train guards and tensor shapes (lines 483, 573, 1163-1165)","488 classes; 31998 train rows; labels 0..487","yes","no","no","Derive row/class/label checks from approved v2 manifest, mapping, and cache config.","before training v2","Wrong classifier and data identity.","Must change before training v2"
"src/ecapa_multiepoch.py","START_GLOBAL_STEP / STEPS_PER_EPOCH / initial EER and threshold (lines 15-22)","1000; 1000; pilot epoch-0 EER 0.064625...; threshold 0.174452...","yes","no","no","Do not resume or migrate this pilot state; initialize v2 scheduler/checkpoint selection from v2 configuration and validation only.","before training v2","Resumes pilot optimization and imports a pilot threshold.","Historical v1 artifact that must remain untouched"
"scripts/run_ecapa_aam_multiepoch.py","START_CHECKPOINT_RELATIVE / EXPECTED_START_SHA256 (lines 124-134)","pilot epoch_000.pt and fixed SHA-256","yes","no","no","Never use as v2 start state; v2 checkpoint identity must bind approved v2 artifacts.","before training v2","Calls a pilot checkpoint the v2 model or resumes incompatible optimizer state.","Historical v1 artifact that must remain untouched"
"scripts/run_ecapa_aam_multiepoch.py","TRAINING_CONFIGURATION (lines 137-159)","epochs 1-4; 1000 batches; P16K2 W8; [301,80]; 8504 rows; 19528 trials","yes","yes","no","Replace with a versioned v2 training config derived from approved manifests/cache/trials and separately approved hyperparameters.","before training v2","Entire run remains coupled to pilot dataset and protocol.","Must change before training v2"
"src/speechbrain_frontend.py","SpeechBrainECAPAFrontend SOURCE / feature and embedding methods (lines 36-39, 178-212)","spkrec-ecapa-voxceleb; native [B,T,80]; [B,1,192]","no","yes","yes","Reuse the pretrained frontend/normalization/embedding modules; never transpose features or use the pretrained classifier.","before Fbank cache v2","Low; changing it would violate the production model contract.","Safe reusable production logic"
"src/fbank.py","standalone project Fbank extractor","non-SpeechBrain frontend","no","yes","no","Retain only for historical/synthetic diagnostics; never substitute it into the production cached-feature path.","before Fbank cache v2","Feature mismatch with pretrained ECAPA frontend.","Historical v1 artifact that must remain untouched"
"manifests/portable/*_v1 and speaker_to_label_v1.json","historical versioned artifacts","pilot splits and 488-class mapping","yes","no","no","Preserve untouched and exclude from every v2 identity.","before approved split v2","Data leakage and label-space mismatch.","Historical v1 artifact that must remain untouched"
"outputs/fbank_cache_v1","historical ignored artifact namespace","pilot [301,80] cache and v1 indexes","yes","no","no","Preserve untouched; create a separate cache-v2 namespace only after approval.","before Fbank cache v2","Mixes old and new datasets and cache schemas.","Historical v1 artifact that must remain untouched"
"manifests/verification/validation_trials_v1*","historical versioned artifacts","pilot fixed validation protocol and hashes","yes","no","no","Preserve untouched; generate trials-v2 only from approved validation split v2.","before verification trials v2","Pilot speakers and thresholds contaminate v2 evaluation.","Historical v1 artifact that must remain untouched"
"reports/pretrained_ecapa_validation_baseline_v1*","historical versioned artifacts","pilot baseline scores, EER, and threshold","yes","no","no","Preserve as history; compute a separate baseline-v2 only after trials-v2 approval.","before baseline v2","Imports pilot threshold and performance claims.","Historical v1 artifact that must remain untouched"
"outputs/ecapa_aam_one_epoch_pilot_v1 and outputs/ecapa_aam_multiepoch_v1","historical ignored checkpoints","pilot model/optimizer/scheduler and data identity","yes","no","no","Preserve and quarantine from v2; initialize v2 training without pilot resume state.","before training v2","Incompatible class head, optimizer state, and data identity.","Historical v1 artifact that must remain untouched"
